embedding_model_label,Dataset,perturbation_condition,Metric,n,mean_delta,sd_delta,median_delta,mean_absolute_delta
MiniLM,Clinical,order_swap_methods_results_blocks,results_to_methods_alignment,49,0.0,0.0,0.0,0.0
MiniLM,Clinical,order_swap_methods_results_blocks,methods_to_aim_alignment,43,0.0,0.0,0.0,0.0
MiniLM,Clinical,order_swap_methods_results_blocks,results_to_aim_alignment,44,-1.354651017622514e-09,8.985738294654e-09,0.0,1.354651017622514e-09
MiniLM,Clinical,order_swap_methods_results_blocks,conclusion_to_background_plus_aim_alignment,48,0.0039154974122842,0.0409012798556202,0.0,0.0074921138584613
MiniLM,Clinical,order_swap_methods_results_blocks,conclusion_plus_future_to_background_plus_aim_alignment,48,0.0012930072844028,0.0446590483536787,0.0,0.0098845474421978
MiniLM,Clinical,random_role_labels_preserve_counts,n_sentences,1000,0.0,0.0,0.0,0.0
MiniLM,Clinical,random_role_labels_preserve_counts,mean_label_confidence,1000,0.0,0.0,0.0,0.0
MiniLM,Clinical,random_role_labels_preserve_counts,mean_local_similarity,1000,0.0,0.0,0.0,0.0
MiniLM,Clinical,random_role_labels_preserve_counts,min_local_similarity,1000,0.0,0.0,0.0,0.0
MiniLM,Clinical,random_role_labels_preserve_counts,local_similarity_volatility,1000,0.0,0.0,0.0,0.0
MiniLM,Clinical,random_role_labels_preserve_counts,local_discontinuity_burden,1000,0.0,0.0,0.0,0.0
MiniLM,Clinical,random_role_labels_preserve_counts,within_role_discontinuity_burden,1000,-0.0519782242568233,0.0701448636208153,-0.0666666666666666,0.0641902369173653
MiniLM,Clinical,random_role_labels_preserve_counts,mean_similarity_to_opening_anchor,1000,-0.0191053575251165,0.0833676902844823,0.0,0.05755865916729
MiniLM,Clinical,random_role_labels_preserve_counts,final_similarity_to_opening_anchor,1000,0.0081337338243611,0.1806308631812317,0.0018830257467925,0.1348935744599439
MiniLM,Clinical,random_role_labels_preserve_counts,mean_similarity_to_own_role_anchor_loo,1000,0.0071507093060595,0.087465046665687,0.00757492845878,0.0652639185358969
MiniLM,Clinical,random_role_labels_preserve_counts,within_Methods_similarity,940,0.0457452502765522,0.1964172839386132,0.0277071411410967,0.1407813686017548
MiniLM,Clinical,random_role_labels_preserve_counts,within_Results_similarity,920,-0.0964466283185259,0.2058970781337404,-0.086056043083469,0.1709132069443385
MiniLM,Clinical,random_role_labels_preserve_counts,conclusion_to_aim_alignment,880,-0.2415354361503639,0.2545905015034088,-0.2288517728447914,0.2844999216412279
MiniLM,Clinical,random_role_labels_preserve_counts,conclusion_to_results_alignment,980,-0.0040405951867982,0.1847065694481231,-0.0002983212471008,0.1446842529611396
MiniLM,Clinical,random_role_labels_preserve_counts,results_to_methods_alignment,1000,0.035396343819797,0.1695130142198643,0.0414530932903289,0.1336955055072903
MiniLM,Clinical,random_role_labels_preserve_counts,methods_to_aim_alignment,900,-0.1067236635663236,0.201958397024057,-0.0949899703264236,0.1769267810958748
MiniLM,Clinical,random_role_labels_preserve_counts,results_to_aim_alignment,900,-0.0180354771607865,0.2302022573340767,-0.0017360150814056,0.1813844990988986
MiniLM,Clinical,random_role_labels_preserve_counts,conclusion_to_background_plus_aim_alignment,980,-0.152571235892686,0.2226493415081226,-0.1459930688142776,0.2145130651556335
MiniLM,Clinical,random_role_labels_preserve_counts,conclusion_plus_future_to_background_plus_aim_alignment,980,-0.1518413460290781,0.2216687735676268,-0.1450119912624359,0.2129366159961768
MiniLM,Clinical,remove_conclusion,n_sentences,50,-1.98,0.7690439333539869,-2.0,1.98
MiniLM,Clinical,remove_conclusion,mean_label_confidence,50,0.0004455205716196,0.0027118454698224,-0.0001976495726496,0.0016029586890577
MiniLM,Clinical,remove_conclusion,mean_local_similarity,50,0.0208453338875189,0.0343315326049959,0.0229605123720536,0.0318838072804463
MiniLM,Clinical,remove_conclusion,min_local_similarity,50,0.0188317220658063,0.0358245877321659,0.0,0.0202298956364393
MiniLM,Clinical,remove_conclusion,local_similarity_volatility,50,-0.0091644586589128,0.0194451741581188,-0.007200513377227,0.0160501091847325
MiniLM,Clinical,remove_conclusion,local_discontinuity_burden,50,-0.0026483177125591,0.0739614515373688,0.0153263403263403,0.057362498268845
MiniLM,Clinical,remove_conclusion,within_role_discontinuity_burden,50,-0.0003383160527123,0.0556297794822259,0.0071266968325791,0.0383054290910328
MiniLM,Clinical,remove_conclusion,mean_similarity_to_opening_anchor,50,0.0005383138256892,0.0250234116035978,0.0002430349874954,0.020236015230067
MiniLM,Clinical,remove_conclusion,final_similarity_to_opening_anchor,50,-0.0846434685122221,0.1907222870518871,-0.0684369541704654,0.1609855837095528
MiniLM,Clinical,remove_conclusion,mean_similarity_to_own_role_anchor_loo,49,0.0272577725103759,0.0493896664028866,0.0344782319688607,0.0435586347814146
MiniLM,Clinical,remove_conclusion,within_Methods_similarity,47,0.0,0.0,0.0,0.0
MiniLM,Clinical,remove_conclusion,within_Results_similarity,46,0.0,0.0,0.0,0.0
MiniLM,Clinical,remove_conclusion,results_to_methods_alignment,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,remove_conclusion,methods_to_aim_alignment,45,0.0,0.0,0.0,0.0
MiniLM,Clinical,remove_conclusion,results_to_aim_alignment,45,0.0,0.0,0.0,0.0
MiniLM,Clinical,remove_conclusion,conclusion_plus_future_to_background_plus_aim_alignment,3,-0.2708160777886708,0.2608555387535823,-0.2048789858818054,0.2708160777886708
MiniLM,Clinical,within_role_shuffle,n_sentences,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,within_role_shuffle,mean_label_confidence,50,0.0,0.0,0.0,0.0
MiniLM,Clinical,within_role_shuffle,mean_local_similarity,50,-0.0071903393755285,0.0595330775263667,-0.006298462307137,0.0442543602330982
MiniLM,Clinical,within_role_shuffle,min_local_similarity,50,-0.0079618287272751,0.0520904388706942,0.0,0.0287989359162747
MiniLM,Clinical,within_role_shuffle,local_similarity_volatility,50,-0.0017687742164807,0.0370210660615418,-0.002262762739934,0.0283672920083231
MiniLM,Clinical,within_role_shuffle,local_discontinuity_burden,50,-0.0163831826068668,0.0940518510927685,0.0,0.0625133097896255
MiniLM,Clinical,within_role_shuffle,within_role_discontinuity_burden,50,0.0189995004995005,0.0884741810776796,0.0,0.0557942057942058
MiniLM,Clinical,within_role_shuffle,mean_similarity_to_opening_anchor,50,1.230142653296795e-09,7.397985378904373e-09,0.0,1.2843286956165655e-09
MiniLM,Clinical,within_role_shuffle,final_similarity_to_opening_anchor,50,-0.0140161491185426,0.101735661943523,0.0,0.0347470944374799
MiniLM,Clinical,within_role_shuffle,mean_similarity_to_own_role_anchor_loo,50,-1.303070551461616e-10,5.2005429885867295e-09,0.0,3.334470948246348e-09
MiniLM,Clinical,within_role_shuffle,within_Methods_similarity,47,0.0,0.0,0.0,0.0
MiniLM,Clinical,within_role_shuffle,within_Results_similarity,46,0.0,0.0,0.0,0.0
MiniLM,Clinical,within_role_shuffle,conclusion_to_aim_alignment,44,0.0,0.0,0.0,0.0
MiniLM,Clinical,within_role_shuffle,conclusion_to_results_alignment,49,1.8246319829201207e-09,2.142881902987259e-08,0.0,5.473895948760364e-09
MiniLM,Clinical,within_role_shuffle,results_to_methods_alignment,50,3.576278686523437e-09,3.107664856041272e-08,0.0,1.5497207641601563e-08
MiniLM,Clinical,within_role_shuffle,methods_to_aim_alignment,45,-6.622738308376735e-10,3.270172324688269e-08,0.0,1.25832027859158e-08
MiniLM,Clinical,within_role_shuffle,results_to_aim_alignment,45,-2.649095323350694e-09,2.184682486882145e-08,0.0,5.298190646701389e-09
MiniLM,Clinical,within_role_shuffle,conclusion_to_background_plus_aim_alignment,49,6.082106609733737e-10,2.3156644151438853e-08,0.0,6.690317270707111e-09
MiniLM,Clinical,within_role_shuffle,conclusion_plus_future_to_background_plus_aim_alignment,49,6.082106609733737e-10,2.3156644151438853e-08,0.0,6.690317270707111e-09
MiniLM,Review,full_sentence_shuffle,n_sentences,50,0.0,0.0,0.0,0.0
MiniLM,Review,full_sentence_shuffle,mean_label_confidence,50,8.881784197001254e-18,9.204458229603841e-17,0.0,4.884981308350689e-17
MiniLM,Review,full_sentence_shuffle,mean_local_similarity,50,-0.0102808256038177,0.081076711938489,-0.016534350072153,0.0648941282339841
MiniLM,Review,full_sentence_shuffle,min_local_similarity,50,-0.0063716307561844,0.0577416487121987,0.0,0.0429698253329843
MiniLM,Review,full_sentence_shuffle,local_similarity_volatility,50,0.0038545061619895,0.0539262708340582,-0.0012157779159477,0.0398010708994727
MiniLM,Review,full_sentence_shuffle,local_discontinuity_burden,50,-0.0133431506573921,0.1077334595918749,0.0,0.0828062594440303
MiniLM,Review,full_sentence_shuffle,within_role_discontinuity_burden,50,-0.0650814515721636,0.0703827832207622,-0.0714285714285714,0.0705113158255573
MiniLM,Review,full_sentence_shuffle,mean_similarity_to_opening_anchor,50,-8.171381249422182e-10,9.349952413470124e-09,0.0,3.693755691314138e-09
MiniLM,Review,full_sentence_shuffle,final_similarity_to_opening_anchor,50,-0.2018421972729265,0.2396973434826226,-0.2165260594338178,0.2594782140292227
MiniLM,Review,full_sentence_shuffle,mean_similarity_to_own_role_anchor_loo,50,-1.1146927270111462e-11,3.291360598503654e-09,0.0,1.95292627791499e-09
MiniLM,Review,full_sentence_shuffle,within_Methods_similarity,49,0.0,0.0,0.0,0.0
MiniLM,Review,full_sentence_shuffle,within_Results_similarity,49,0.0,0.0,0.0,0.0
MiniLM,Review,full_sentence_shuffle,conclusion_to_aim_alignment,47,-5.7068276912608045e-09,2.1199759034986835e-08,0.0,5.7068276912608045e-09
MiniLM,Review,full_sentence_shuffle,conclusion_to_results_alignment,50,0.0,2.0857280857079184e-08,0.0,7.152557373046875e-09
MiniLM,Review,full_sentence_shuffle,results_to_methods_alignment,50,-6.556510925292969e-09,3.473953202592535e-08,0.0,1.609325408935547e-08
MiniLM,Review,full_sentence_shuffle,methods_to_aim_alignment,47,-1.5852299142391123e-10,2.4685830420577367e-08,0.0,1.1572178373945521e-08
MiniLM,Review,full_sentence_shuffle,results_to_aim_alignment,47,-5.7068276912608045e-09,3.084548058528558e-08,0.0,1.4584115210999832e-08
MiniLM,Review,full_sentence_shuffle,conclusion_to_background_plus_aim_alignment,50,-1.4901161193847655e-09,2.6968673849361133e-08,0.0,1.1026859283447264e-08
MiniLM,Review,full_sentence_shuffle,conclusion_plus_future_to_background_plus_aim_alignment,50,1.1920928955078123e-09,3.0080798238781015e-08,0.0,1.3113021850585938e-08
MiniLM,Review,label_swap_methods_results,n_sentences,50,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,mean_label_confidence,50,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,mean_local_similarity,50,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,min_local_similarity,50,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,local_similarity_volatility,50,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,local_discontinuity_burden,50,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,within_role_discontinuity_burden,50,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,mean_similarity_to_opening_anchor,50,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,final_similarity_to_opening_anchor,50,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,mean_similarity_to_own_role_anchor_loo,50,0.0144990426278599,0.0611269013785164,0.0110056580177375,0.0497444703237561
MiniLM,Review,label_swap_methods_results,within_Methods_similarity,48,0.0516541900001737,0.1929415423853168,0.0562613133518468,0.1482946841125056
MiniLM,Review,label_swap_methods_results,conclusion_to_aim_alignment,47,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,methods_to_aim_alignment,47,0.0634023951406174,0.2012646453715712,0.0707390904426574,0.1677615323916394
MiniLM,Review,label_swap_methods_results,conclusion_to_background_plus_aim_alignment,50,0.0,0.0,0.0,0.0
MiniLM,Review,label_swap_methods_results,conclusion_plus_future_to_background_plus_aim_alignment,50,0.0,0.0,0.0,0.0
MiniLM,Review,order_swap_methods_results_blocks,n_sentences,50,-0.18,0.3880879344916036,0.0,0.18
MiniLM,Review,order_swap_methods_results_blocks,mean_label_confidence,50,8.544865265454949e-05,0.0017714017099545,0.0,0.0005212180140121
MiniLM,Review,order_swap_methods_results_blocks,mean_local_similarity,50,-0.0033448570808727,0.0366838908971416,-0.0025893940473906,0.0253801247008077
MiniLM,Review,order_swap_methods_results_blocks,min_local_similarity,50,-0.0063109264895319,0.043751568345592,0.0,0.0273871609941124
MiniLM,Review,order_swap_methods_results_blocks,local_similarity_volatility,50,0.0024576294534375,0.0175905281844392,0.0002354819511649,0.0121348911925342
MiniLM,Review,order_swap_methods_results_blocks,local_discontinuity_burden,50,0.0033332635716536,0.06978082043589,0.0,0.0485600326745837
MiniLM,Review,order_swap_methods_results_blocks,within_role_discontinuity_burden,50,-0.00796663424295,0.0454029674333098,0.0,0.0227027314790472
MiniLM,Review,order_swap_methods_results_blocks,mean_similarity_to_opening_anchor,50,0.0030978717566781,0.0191316910620185,0.0,0.0072164830627032
MiniLM,Review,order_swap_methods_results_blocks,final_similarity_to_opening_anchor,50,0.021676342152059,0.092483557281468,0.0,0.036278370283544
MiniLM,Review,order_swap_methods_results_blocks,mean_similarity_to_own_role_anchor_loo,50,0.0057167398424884,0.0294924713743902,0.0,0.0112794969473454
MiniLM,Review,order_swap_methods_results_blocks,within_Methods_similarity,49,0.0,0.0,0.0,0.0
MiniLM,Review,order_swap_methods_results_blocks,within_Results_similarity,49,0.0,0.0,0.0,0.0
MiniLM,Review,order_swap_methods_results_blocks,conclusion_to_aim_alignment,47,0.0045782422765772,0.0624814242376359,0.0,0.0188995745587856
MiniLM,Review,order_swap_methods_results_blocks,conclusion_to_results_alignment,50,-0.0072143703699111,0.0440793548003186,0.0,0.01171216070652
MiniLM,Review,order_swap_methods_results_blocks,results_to_methods_alignment,50,0.0,0.0,0.0,0.0
MiniLM,Review,order_swap_methods_results_blocks,methods_to_aim_alignment,47,-0.0006641707521803,0.0045533252726372,0.0,0.0006641707521803
MiniLM,Review,order_swap_methods_results_blocks,results_to_aim_alignment,47,-0.0033687048770011,0.0230946770874065,0.0,0.0033687048770011
MiniLM,Review,order_swap_methods_results_blocks,conclusion_to_background_plus_aim_alignment,50,0.0120888650417327,0.0651691405571183,0.0,0.0234744107723236
MiniLM,Review,order_swap_methods_results_blocks,conclusion_plus_future_to_background_plus_aim_alignment,50,0.0081964242458343,0.0535012699143434,0.0,0.0186816799640655
MiniLM,Review,random_role_labels_preserve_counts,n_sentences,1000,0.0,0.0,0.0,0.0
MiniLM,Review,random_role_labels_preserve_counts,mean_label_confidence,1000,0.0,0.0,0.0,0.0
MiniLM,Review,random_role_labels_preserve_counts,mean_local_similarity,1000,0.0,0.0,0.0,0.0
MiniLM,Review,random_role_labels_preserve_counts,min_local_similarity,1000,0.0,0.0,0.0,0.0
MiniLM,Review,random_role_labels_preserve_counts,local_similarity_volatility,1000,0.0,0.0,0.0,0.0
MiniLM,Review,random_role_labels_preserve_counts,local_discontinuity_burden,1000,0.0,0.0,0.0,0.0
MiniLM,Review,random_role_labels_preserve_counts,within_role_discontinuity_burden,1000,-0.0457656517888716,0.0682137370806325,-0.0588235294117647,0.0590024620374465
MiniLM,Review,random_role_labels_preserve_counts,mean_similarity_to_opening_anchor,1000,-0.0186191165620074,0.0827558332265813,0.0,0.0544759288443946
MiniLM,Review,random_role_labels_preserve_counts,final_similarity_to_opening_anchor,1000,-0.0373308155597187,0.2321267982774266,0.0,0.1652294604009948
MiniLM,Review,random_role_labels_preserve_counts,mean_similarity_to_own_role_anchor_loo,1000,0.0074893371065465,0.0883166602271657,0.0065812314195292,0.0682880585744359
MiniLM,Review,random_role_labels_preserve_counts,within_Methods_similarity,980,0.0435326660080745,0.1915286592448792,0.0169598802569366,0.1369556622831599
MiniLM,Review,random_role_labels_preserve_counts,within_Results_similarity,980,-0.0130292474385901,0.1803379050443152,-0.0237657222896814,0.1293070695254021
MiniLM,Review,random_role_labels_preserve_counts,conclusion_to_aim_alignment,940,-0.2485964833491263,0.2435762164926062,-0.2433707267045974,0.283288850562964
MiniLM,Review,random_role_labels_preserve_counts,conclusion_to_results_alignment,1000,-0.0742482307758182,0.1829398985465913,-0.0607545524835586,0.1488979372587055
MiniLM,Review,random_role_labels_preserve_counts,results_to_methods_alignment,1000,0.0510754498569294,0.1655150180061634,0.056828886270523,0.1340297767193988
MiniLM,Review,random_role_labels_preserve_counts,methods_to_aim_alignment,940,-0.0631904644703373,0.241028357022931,-0.0410195142030715,0.1946152571836447
MiniLM,Review,random_role_labels_preserve_counts,results_to_aim_alignment,940,-0.107665835001922,0.2373002581250868,-0.0815480947494506,0.2008216907032468
MiniLM,Review,random_role_labels_preserve_counts,conclusion_to_background_plus_aim_alignment,1000,-0.1664618131369352,0.2263322808746642,-0.1584788858890533,0.2235294056385755
MiniLM,Review,random_role_labels_preserve_counts,conclusion_plus_future_to_background_plus_aim_alignment,1000,-0.1513533537369221,0.2227458060172894,-0.1431560516357422,0.2119139211755246
MiniLM,Review,remove_conclusion,n_sentences,50,-2.28,0.9697464427701225,-2.0,2.28
MiniLM,Review,remove_conclusion,mean_label_confidence,50,0.0006204459420868,0.0027657456443323,0.0001489686783804,0.0018638126751129
MiniLM,Review,remove_conclusion,mean_local_similarity,50,0.0067719728203363,0.0427611693001899,0.0045146196359945,0.0321653874339042
MiniLM,Review,remove_conclusion,min_local_similarity,50,0.0236231458559632,0.0445007019646833,0.0,0.0237120718881487
MiniLM,Review,remove_conclusion,local_similarity_volatility,50,-0.0111324270381309,0.0244999251517053,-0.0064795109890259,0.0170110974559773
MiniLM,Review,remove_conclusion,local_discontinuity_burden,50,-0.0058143848755303,0.0706638014675674,0.0138782785841609,0.0516473427673118
MiniLM,Review,remove_conclusion,within_role_discontinuity_burden,50,-0.0123742029384444,0.0532760694686386,0.0,0.0374503000439532
MiniLM,Review,remove_conclusion,mean_similarity_to_opening_anchor,50,-0.0088476438250529,0.0278763546820224,-0.0096953803600816,0.0223246532809959
MiniLM,Review,remove_conclusion,final_similarity_to_opening_anchor,50,-0.0875893289409577,0.1810662680361187,-0.0702663455158472,0.1464522048644721
MiniLM,Review,remove_conclusion,mean_similarity_to_own_role_anchor_loo,50,0.0099484057395372,0.0440114570219933,0.0036994151771068,0.0332306294227311
MiniLM,Review,remove_conclusion,within_Methods_similarity,49,-3.5732376354843315e-10,2.501266344839033e-09,0.0,3.5732376354843315e-10
MiniLM,Review,remove_conclusion,within_Results_similarity,49,-9.123159937258217e-11,6.386211956080747e-10,0.0,9.123159937258217e-11
MiniLM,Review,remove_conclusion,results_to_methods_alignment,50,-1.7881393432617187e-09,9.347071988284632e-09,0.0,1.7881393432617187e-09
MiniLM,Review,remove_conclusion,methods_to_aim_alignment,47,-1.2681839313912899e-09,8.69423100339738e-09,0.0,1.2681839313912899e-09
MiniLM,Review,remove_conclusion,results_to_aim_alignment,47,-1.2681839313912899e-09,8.69423100339738e-09,0.0,1.2681839313912899e-09
MiniLM,Review,remove_conclusion,conclusion_plus_future_to_background_plus_aim_alignment,17,-0.1690200716257095,0.1809741510768701,-0.1005761325359344,0.1947160617393606
MiniLM,Review,within_role_shuffle,n_sentences,50,0.0,0.0,0.0,0.0
MiniLM,Review,within_role_shuffle,mean_label_confidence,50,0.0,0.0,0.0,0.0
MiniLM,Review,within_role_shuffle,mean_local_similarity,50,-0.0323344399796239,0.0544643979252693,-0.0365577281988931,0.0522623859513653
MiniLM,Review,within_role_shuffle,min_local_similarity,50,-0.005722002480179,0.0349648239119945,0.0,0.0188233959861099
MiniLM,Review,within_role_shuffle,local_similarity_volatility,50,-0.0113095469383367,0.0376164768264226,-0.0079120321915309,0.0289230309783909
MiniLM,Review,within_role_shuffle,local_discontinuity_burden,50,-0.0255454851306244,0.082954426365968,0.0,0.0679809940661334
MiniLM,Review,within_role_shuffle,within_role_discontinuity_burden,50,-0.0042468250703544,0.0735921643999306,0.0,0.0503371791607085
MiniLM,Review,within_role_shuffle,mean_similarity_to_opening_anchor,50,-6.27476128833848e-10,4.393963415177381e-09,0.0,1.0267756422877027e-09
MiniLM,Review,within_role_shuffle,final_similarity_to_opening_anchor,50,-0.0348970460053533,0.1222006906509132,0.0,0.0594179866369813
MiniLM,Review,within_role_shuffle,mean_similarity_to_own_role_anchor_loo,50,-2.7941229330252778e-11,4.225331268044288e-09,0.0,2.8434086618567277e-09
MiniLM,Review,within_role_shuffle,within_Methods_similarity,49,0.0,0.0,0.0,0.0
MiniLM,Review,within_role_shuffle,within_Results_similarity,49,0.0,0.0,0.0,0.0
MiniLM,Review,within_role_shuffle,conclusion_to_aim_alignment,47,-3.804551794173869e-09,1.9271098837907616e-08,0.0,3.804551794173869e-09
MiniLM,Review,within_role_shuffle,conclusion_to_results_alignment,50,-4.172325134277344e-09,2.2536482585951346e-08,0.0,8.940696716308593e-09
MiniLM,Review,within_role_shuffle,results_to_methods_alignment,50,-1.7881393432617187e-09,2.512270806845925e-08,0.0,1.132488250732422e-08
MiniLM,Review,within_role_shuffle,methods_to_aim_alignment,47,-4.755689742717337e-10,2.0516569117789933e-08,0.0,9.352856494010762e-09
MiniLM,Review,within_role_shuffle,results_to_aim_alignment,47,-1.9022758970869347e-09,2.941382112568691e-08,0.0,1.2047747348217252e-08
