embedding_model_label,perturbation_condition,Metric,expected_pattern,mean_delta,mean_absolute_delta,observed_matches_expected
MiniLM,label_swap_methods_results,mean_similarity_to_opening_anchor,not_prespecified,0.0,0.0,
MiniLM,label_swap_methods_results,final_similarity_to_opening_anchor,not_prespecified,0.0,0.0,
MiniLM,label_swap_methods_results,mean_similarity_to_own_role_anchor_loo,not_prespecified,0.0044513914401004,0.0553820587758076,
MiniLM,label_swap_methods_results,within_Methods_similarity,change,0.0964731225258143,0.1709572650821111,True
MiniLM,label_swap_methods_results,conclusion_to_aim_alignment,not_prespecified,0.0,0.0,
MiniLM,label_swap_methods_results,methods_to_aim_alignment,change,-0.020999160716715,0.1639436960382306,False
MiniLM,label_swap_methods_results,conclusion_to_background_plus_aim_alignment,not_prespecified,0.0,0.0,
MiniLM,label_swap_methods_results,conclusion_plus_future_to_background_plus_aim_alignment,not_prespecified,0.0,0.0,
MiniLM,order_swap_methods_results_blocks,n_sentences,not_prespecified,-0.2,0.2,
MiniLM,order_swap_methods_results_blocks,mean_label_confidence,not_prespecified,0.0002541401396161,0.0005809414454654,
MiniLM,order_swap_methods_results_blocks,mean_local_similarity,change,-0.0051019482705571,0.0275099238028061,False
MiniLM,order_swap_methods_results_blocks,min_local_similarity,not_prespecified,-0.0025342593155801,0.0238989798538386,
MiniLM,order_swap_methods_results_blocks,local_similarity_volatility,change,0.0013640723189226,0.0158764474628094,False
MiniLM,order_swap_methods_results_blocks,local_discontinuity_burden,not_prespecified,0.0001968873060204,0.0449800465272601,
MiniLM,order_swap_methods_results_blocks,within_role_discontinuity_burden,not_prespecified,-0.0056654735873002,0.0207222395767287,
MiniLM,order_swap_methods_results_blocks,mean_similarity_to_opening_anchor,not_prespecified,0.0029723434991615,0.006460011772017,
MiniLM,order_swap_methods_results_blocks,final_similarity_to_opening_anchor,approximately_stable,0.0240815252624452,0.0386933531425893,True
MiniLM,order_swap_methods_results_blocks,mean_similarity_to_own_role_anchor_loo,not_prespecified,0.0056537896943248,0.0092016851631445,
MiniLM,order_swap_methods_results_blocks,within_Methods_similarity,not_prespecified,0.0,0.0,
MiniLM,order_swap_methods_results_blocks,within_Results_similarity,not_prespecified,0.0,0.0,
MiniLM,order_swap_methods_results_blocks,conclusion_to_aim_alignment,not_prespecified,0.0048923207802718,0.0135344196571392,
MiniLM,order_swap_methods_results_blocks,conclusion_to_results_alignment,not_prespecified,-0.0036015854198105,0.0080632947537363,
MiniLM,order_swap_methods_results_blocks,results_to_methods_alignment,not_prespecified,0.0,0.0,
MiniLM,order_swap_methods_results_blocks,methods_to_aim_alignment,not_prespecified,-0.0003468447261386,0.0003468447261386,
MiniLM,order_swap_methods_results_blocks,results_to_aim_alignment,not_prespecified,-0.0017398811958648,0.0017398811958648,
MiniLM,order_swap_methods_results_blocks,conclusion_to_background_plus_aim_alignment,not_prespecified,0.008085582937513,0.0156463469777788,
MiniLM,order_swap_methods_results_blocks,conclusion_plus_future_to_background_plus_aim_alignment,not_prespecified,0.0048151587953372,0.014372880361518,
MiniLM,random_role_labels_preserve_counts,n_sentences,not_prespecified,0.0,0.0,
MiniLM,random_role_labels_preserve_counts,mean_label_confidence,not_prespecified,0.0,0.0,
MiniLM,random_role_labels_preserve_counts,mean_local_similarity,not_prespecified,0.0,0.0,
MiniLM,random_role_labels_preserve_counts,min_local_similarity,not_prespecified,0.0,0.0,
MiniLM,random_role_labels_preserve_counts,local_similarity_volatility,not_prespecified,0.0,0.0,
MiniLM,random_role_labels_preserve_counts,local_discontinuity_burden,not_prespecified,0.0,0.0,
MiniLM,random_role_labels_preserve_counts,within_role_discontinuity_burden,not_prespecified,-0.0488719380228474,0.0615963494774059,
MiniLM,random_role_labels_preserve_counts,mean_similarity_to_opening_anchor,not_prespecified,-0.0188622370435619,0.0560172940058423,
MiniLM,random_role_labels_preserve_counts,final_similarity_to_opening_anchor,not_prespecified,-0.0145985408676788,0.1500615174304694,
MiniLM,random_role_labels_preserve_counts,mean_similarity_to_own_role_anchor_loo,decrease,0.007320023206303,0.0667759885551664,False
MiniLM,random_role_labels_preserve_counts,within_Methods_similarity,change,0.0446159103895167,0.138828664334972,True
MiniLM,random_role_labels_preserve_counts,within_Results_similarity,change,-0.0534208213383485,0.1494531992229924,True
MiniLM,random_role_labels_preserve_counts,conclusion_to_aim_alignment,not_prespecified,-0.2451823506376368,0.2838744233920147,
MiniLM,random_role_labels_preserve_counts,conclusion_to_results_alignment,change,-0.0394989969994346,0.1468123763437486,True
MiniLM,random_role_labels_preserve_counts,results_to_methods_alignment,change,0.0432358968383632,0.1338626411133446,True
MiniLM,random_role_labels_preserve_counts,methods_to_aim_alignment,not_prespecified,-0.0844838770716349,0.185963285184192,
MiniLM,random_role_labels_preserve_counts,results_to_aim_alignment,not_prespecified,-0.0638248991013666,0.1913143687228591,
MiniLM,random_role_labels_preserve_counts,conclusion_to_background_plus_aim_alignment,not_prespecified,-0.1595866789453371,0.2190667724702507,
MiniLM,random_role_labels_preserve_counts,conclusion_plus_future_to_background_plus_aim_alignment,not_prespecified,-0.151594885275464,0.2124201034604938,
MiniLM,remove_conclusion,n_sentences,not_prespecified,-2.13,2.13,
MiniLM,remove_conclusion,mean_label_confidence,not_prespecified,0.0005329832568532,0.0017333856820853,
MiniLM,remove_conclusion,mean_local_similarity,not_prespecified,0.0138086533539276,0.0320245973571753,
MiniLM,remove_conclusion,min_local_similarity,not_prespecified,0.0212274339608848,0.021970983762294,
MiniLM,remove_conclusion,local_similarity_volatility,not_prespecified,-0.0101484428485219,0.0165306033203549,
MiniLM,remove_conclusion,local_discontinuity_burden,not_prespecified,-0.0042313512940447,0.0545049205180784,
MiniLM,remove_conclusion,within_role_discontinuity_burden,not_prespecified,-0.0063562594955783,0.037877864567493,
MiniLM,remove_conclusion,mean_similarity_to_opening_anchor,not_prespecified,-0.0041546649996818,0.0212803342555315,
MiniLM,remove_conclusion,final_similarity_to_opening_anchor,decrease,-0.0861163987265899,0.1537188942870125,True
MiniLM,remove_conclusion,mean_similarity_to_own_role_anchor_loo,not_prespecified,0.0185156680806594,0.0383424704588471,
MiniLM,remove_conclusion,within_Methods_similarity,not_prespecified,-1.8238400431117943e-10,1.8238400431117943e-10,
MiniLM,remove_conclusion,within_Results_similarity,not_prespecified,-4.705629862375292e-11,4.705629862375292e-11,
MiniLM,remove_conclusion,results_to_methods_alignment,not_prespecified,-8.940696716308592e-10,8.940696716308592e-10,
MiniLM,remove_conclusion,methods_to_aim_alignment,not_prespecified,-6.478765736455503e-10,6.478765736455503e-10,
MiniLM,remove_conclusion,results_to_aim_alignment,not_prespecified,-6.478765736455503e-10,6.478765736455503e-10,
MiniLM,remove_conclusion,conclusion_plus_future_to_background_plus_aim_alignment,not_prespecified,-0.1842894725501537,0.2061310641467571,
MiniLM,within_role_shuffle,n_sentences,not_prespecified,0.0,0.0,
MiniLM,within_role_shuffle,mean_label_confidence,not_prespecified,0.0,0.0,
MiniLM,within_role_shuffle,mean_local_similarity,not_prespecified,-0.0197623896775762,0.0482583730922318,
MiniLM,within_role_shuffle,min_local_similarity,not_prespecified,-0.0068419156037271,0.0238111659511923,
MiniLM,within_role_shuffle,local_similarity_volatility,not_prespecified,-0.0065391605774087,0.028645161493357,
MiniLM,within_role_shuffle,local_discontinuity_burden,not_prespecified,-0.0209643338687456,0.0652471519278794,
MiniLM,within_role_shuffle,within_role_discontinuity_burden,not_prespecified,0.007376337714573,0.0530656924774571,
MiniLM,within_role_shuffle,mean_similarity_to_opening_anchor,not_prespecified,3.013332622314735e-10,1.1555521689521342e-09,
MiniLM,within_role_shuffle,final_similarity_to_opening_anchor,not_prespecified,-0.024456597561948,0.0470825405372306,
MiniLM,within_role_shuffle,mean_similarity_to_own_role_anchor_loo,not_prespecified,-7.912414223820719e-11,3.088939805051538e-09,
MiniLM,within_role_shuffle,within_Methods_similarity,approximately_stable,0.0,0.0,True
MiniLM,within_role_shuffle,within_Results_similarity,approximately_stable,0.0,0.0,True
MiniLM,within_role_shuffle,conclusion_to_aim_alignment,not_prespecified,-1.964988289298592e-09,1.964988289298592e-09,
MiniLM,within_role_shuffle,conclusion_to_results_alignment,approximately_stable,-1.2041342378866792e-09,7.224805427320076e-09,True
MiniLM,within_role_shuffle,results_to_methods_alignment,not_prespecified,8.940696716308592e-10,1.3411045074462893e-08,
MiniLM,within_role_shuffle,methods_to_aim_alignment,not_prespecified,-5.668920019398564e-10,1.093291718026866e-08,
MiniLM,within_role_shuffle,results_to_aim_alignment,not_prespecified,-2.267568007759426e-09,8.746333744214931e-09,
MiniLM,within_role_shuffle,conclusion_to_background_plus_aim_alignment,not_prespecified,-1.2041342378866792e-09,4.816536951546717e-09,
MiniLM,within_role_shuffle,conclusion_plus_future_to_background_plus_aim_alignment,not_prespecified,-2.4082684757733584e-09,6.020671189433396e-09,
